id,type,text1,text2,text3,notes
# Faction,,,,,
republic_of_dawn,FACTION,"黎明共和国，是一个远古地球的后裔们所创建的势力。起初他们只是一个松散团体，称为黎明联合体，由财团、走私犯、远古宗教团体、军阀组成。由于生存环境逐渐恶劣，资源匮乏，以及来自敌对势力的频繁袭击。黎明联合体急需一个稳固的政体。

星历128年，最大的军阀首领 “Lee Jack” 联合远古宗教大主教”Aesop Ottoman”,组建”黎明共和国”，并通过战争及游说逐渐吸收了其他松散团体。

星历132年，领袖宣布黎明共和国离开原星域，选择遥远的英仙座作为新家。

星历134年，浩浩荡荡地大军离开了他们居住了上万年的家，目标：英仙座。

星历168年，经过34年的漫长旅途，黎明共和国终于来到了英仙座边境。并在Annacleon星系EndPoint行星上站稳了脚跟。

星历178年，黎明共和国来到Solomon,发现了一颗神奇的超级类地行星Augustus。并且在Augustus上发生了一系列匪夷所思的奇异事件。黎明共和国逐渐开辟了Solomon星系，并且凭借在 人之领 母舰上发现的破损的 ”余晖” 某舰船蓝图获得了新的灵感。由于黎明黎明共和国殖民地规模逐渐扩大，引起了英仙座中央星域各大势力的注意。尤其是与称为“霸主”的势力由于某些原因摩擦不断，甚至爆发过几次或大或小的交火。

由于共和国和霸主的矛盾愈演愈烈，矛盾冲突不断，逐渐升级为敌对关系。星历200年，霸主突然对黎明共和国发动了”破日之战”，数十膄“攻势”级战列舰及“军团”级战列航母凭借着强大的火力击溃了黎明共和国联军。领袖不得不向英仙座联盟求援，作为回报，领袖赠送了susan给英仙座联盟。霸主在英仙座联盟、速子科技、卢德教会等势力的多方施压下不得不停止了侵略战争，但是没有忘记给端点星来个饱和轰炸。

星历201年，共和国迁都于Augustus,并且修建了大规模防御设施及最高指挥部以应对霸主的威胁。于此同时，共和国优秀的工程师们破译了 “余晖” 舰船蓝图，研制出了”黎明”级战列航母。

",,,
,,,,,
,,,,,
,,,,,
# Worlds,,,,,
rd_star_purple,PLANET,奇异的紫色巨星，在人类为进化出适应太空航行的视网膜之前，它在人眼中是一颗蓝色巨星。,,,
rd_star_black_dwaf,PLANET,黑矮星，是中小质量恒星演化的最后期。大约1个太阳质量恒星演化的中级产物。它由低温减并电子气体组成。由于整个星体处于最低的能太，因此无法再产生能量辐射了。以碳为主和少量尘埃构成。,,,
rd_super_terran,PLANET,“超级地球”也叫超级类地行星，是指那些环境和地球类似、但质量要大上好几倍的行星。天文学家们普遍怀疑这类行星上可能存在水甚至生命，也可能适宜人类居住，因此具有重大研究价值。,,,
rd_barren_terran,PLANET,地质构造与地球及其相似，是共和国的龙兴之地， 可惜由于某些原因这颗类地行星表面已是寸草不生。频繁的战火让政府决定不再接受移民。,,,
,,,,,
solomon_planet_augustus,CUSTOM,"星历178年，黎明共和国来到英仙座的偏远星域，在 Solomon 星系发现了一颗超级类地行星，这颗行星距离它的母星 Solomon-alpah 位置适中，

物产丰富。当舰队驶向这颗行星的大气层时，一膄 人之领 母舰突然苏醒，可惜没有战斗能力很快被英勇的黎明共和国先锋队们占领了。
人们在这颗行星上发现了一个沉睡的 AI核心，冒失的指挥官 Lawrence 意外激活了这个核心，强大的磁场瞬间将 Lawrence 的肉体消灭殆尽。

从此之后 Lawrence 便不在共和国的指挥官名单中。共和国修建了星际要塞，人们惊讶地发现有个相貌及似 Lawrence 的自称 SoulKnight（灵魂骑士） 的生面孔当了星际要塞指挥官兼殖民地负责人。

凭借富裕的行星资源 Augustus 很快成为了取代 EndPoint（端点）的首都地位，人们甚至建造了“共和国大使馆”来与其他势力保持良好关系。
",,,
solomon_planet_tang,CUSTOM,"史料记载，远古时期，当时人类尚处于铁器时代。人类文明中的其中一支，一支黄种人在人类文明之源“地球”的一块大陆“亚洲”上建立了一个称为“唐”的强盛帝国。

“唐”物产丰富，国富民强，首都“长安”据说曾有上百万人口。一条成为“丝绸之路”的贸易路线连接着“长安”和几千里之外的其他国家。然而，正如远古预言那样，

“分久必合，合久必分”。不久之后，“唐”便被后继朝代取代，有关于“唐”的史料也越来越少。为了纪念“唐”，领袖便将这颗行星命名为""Tang""。
",,,
solomon_planet_jerusalem,CUSTOM,"Jerusalem(耶路撒冷)，史料记载曾是人类起源的那颗蓝色行星的一个圣城。

黎明共和国到达Solomon星系站稳脚跟之后，一部分狂热分子在远古宗教领袖Emir Ottoman(埃米尔 奥斯曼)的煽动下发动军事叛变兵不血刃地占据了这颗环绕着类木星的冰冻行星。并公开设立自由港。

为了平息黎明共和国部分军官团体的远古宗教情结，领袖决定大事化小，小事化无，因此Jerusalem成为了黎明共和国下属的唯一的自由港。",,,
,,,,,
annacleon_planet_endpoint,CUSTOM,"黎明共和国故都  端点星 是一颗贫瘠类地行星。是黎明共和国在英仙座开辟的第一个殖民地，鼎盛时期曾居住着接近上亿人口。

星历200年，霸主发动了”破日之战”，数十膄“攻势”级战列舰及“军团”级战列航母凭借着强大的火力击溃了黎明共和国联军。领袖不得不和英仙座联盟求援，

作为回报，领袖赠送了susan给英仙座联盟。霸主在英仙座联盟、速子科技、卢德教会等势力的多方施压下不得不停止了侵略战争，但是没有忘记给端点星来个饱和轰炸。
",,,
annacleon_planet_anna,CUSTOM,"anna曾是黎明共和国的一颗矿产丰富的冰原行星，共和国曾凭借anna的大量资源制造大量战舰武器。

星历200年的，霸主派出的特工潜入了anna，瘫痪了anna的采矿业等工业设施，随后发动“破日之战”率先占领了anna。失去anna是所有黎明共和国子民的心痛。

作为回报，优秀的共和国特工 Rose 窃取了”攻势级”战列舰的蓝图。
",,,
annacleon_planet_susan,CUSTOM,"Susan曾是共和国下属的一颗剧毒寒冷行星。

星历200年的“破日之战”中，susan被转交给共和国的盟友英仙座联盟管理。
",,,
annacleon_planet_katerina,CUSTOM,来自中央星域的一支称为“自由联盟”的松散团体说服了共和国的各位高级领导人，共和国许诺将这颗苔原行星 katerina 赠送给和事佬“自由联盟”。,,,
,,,,,
